series,sewer,episode,result
10,Alex,6,NA
10,Marcus,6,NA
10,Georgie,6,Eliminated
10,Luke,7,NA
10,Ailsa,7,NA
10,Pascha,7,Garment of the week
10,Suzy,7,NA
10,Alex,7,NA
10,Marcus,7,Eliminated
10,Luke,8,Garment of the week
10,Ailsa,8,NA
10,Pascha,8,NA
10,Suzy,8,NA
10,Alex,8,Eliminated
10,Luke,9,NA
10,Ailsa,9,NA
10,Pascha,9,Garment of the week
10,Suzy,9,Eliminated
10,Luke,10,Winner
10,Ailsa,10,Runner-up
10,Pascha,10,Runner-up
